title,url
概述,https://developer.work.weixin.qq.com/document/path/97213
获取应用共享信息,https://developer.work.weixin.qq.com/document/path/95813
获取下级/下游企业的access_token,https://developer.work.weixin.qq.com/document/path/95816
获取下级/下游企业小程序session,https://developer.work.weixin.qq.com/document/path/95817
上下游关联客户信息-已添加客户,https://developer.work.weixin.qq.com/document/path/95818
上下游关联客户信息-未添加客户,https://developer.work.weixin.qq.com/document/path/97357
获取上下游信息,https://developer.work.weixin.qq.com/document/path/95820
批量导入上下游联系人,https://developer.work.weixin.qq.com/document/path/95821
获取异步任务结果,https://developer.work.weixin.qq.com/document/path/95823
移除企业,https://developer.work.weixin.qq.com/document/path/95822
查询成员自定义id,https://developer.work.weixin.qq.com/document/path/97441
获取下级企业加入的上下游,https://developer.work.weixin.qq.com/document/path/97442
获取对接规则id列表,https://developer.work.weixin.qq.com/document/path/95631
删除对接规则,https://developer.work.weixin.qq.com/document/path/95632
获取对接规则详情,https://developer.work.weixin.qq.com/document/path/95633
新增对接规则,https://developer.work.weixin.qq.com/document/path/95634
更新对接规则,https://developer.work.weixin.qq.com/document/path/95635
