title,url
概述,https://developer.work.weixin.qq.com/document/path/92109
成员对外信息,https://developer.work.weixin.qq.com/document/path/92230
获取配置了客户联系功能的成员列表,https://developer.work.weixin.qq.com/document/path/92571
获取客户列表,https://developer.work.weixin.qq.com/document/path/92113
获取客户详情,https://developer.work.weixin.qq.com/document/path/92114
批量获取客户详情,https://developer.work.weixin.qq.com/document/path/92994
修改客户备注信息,https://developer.work.weixin.qq.com/document/path/92115
客户联系规则组管理,https://developer.work.weixin.qq.com/document/path/94883
管理企业标签,https://developer.work.weixin.qq.com/document/path/92117
管理企业规则组下的客户标签,https://developer.work.weixin.qq.com/document/path/94882
编辑客户企业标签,https://developer.work.weixin.qq.com/document/path/92118
分配在职成员的客户,https://developer.work.weixin.qq.com/document/path/92125
查询客户接替状态,https://developer.work.weixin.qq.com/document/path/94088
分配在职成员的客户群,https://developer.work.weixin.qq.com/document/path/95703
获取待分配的离职成员列表,https://developer.work.weixin.qq.com/document/path/92124
分配离职成员的客户,https://developer.work.weixin.qq.com/document/path/94081
查询客户接替状态,https://developer.work.weixin.qq.com/document/path/94082
分配离职成员的客户群,https://developer.work.weixin.qq.com/document/path/92127
获取客户群列表,https://developer.work.weixin.qq.com/document/path/92120
获取客户群详情,https://developer.work.weixin.qq.com/document/path/92122
客户群opengid转换,https://developer.work.weixin.qq.com/document/path/94822
客户联系「联系我」管理,https://developer.work.weixin.qq.com/document/path/92228
客户群「加入群聊」管理,https://developer.work.weixin.qq.com/document/path/92229
概述,https://developer.work.weixin.qq.com/document/path/93506
企业发表内容到客户的朋友圈,https://developer.work.weixin.qq.com/document/path/95094
停止发表企业朋友圈,https://developer.work.weixin.qq.com/document/path/97612
获取客户朋友圈全部的发表记录,https://developer.work.weixin.qq.com/document/path/93333
客户朋友圈规则组管理,https://developer.work.weixin.qq.com/document/path/94890
获客链接管理,https://developer.work.weixin.qq.com/document/path/97297
获取由获客链接添加的客户信息,https://developer.work.weixin.qq.com/document/path/97298
获客助手额度管理与使用统计,https://developer.work.weixin.qq.com/document/path/97375
提升广告有效率,https://developer.work.weixin.qq.com/document/path/99596
获取成员多次收消息详情,https://developer.work.weixin.qq.com/document/path/100130
创建企业群发,https://developer.work.weixin.qq.com/document/path/92135
提醒成员群发,https://developer.work.weixin.qq.com/document/path/97610
停止企业群发,https://developer.work.weixin.qq.com/document/path/97611
获取企业的全部群发记录,https://developer.work.weixin.qq.com/document/path/93338
发送新客户欢迎语,https://developer.work.weixin.qq.com/document/path/92137
入群欢迎语素材管理,https://developer.work.weixin.qq.com/document/path/92366
获取「联系客户统计」数据,https://developer.work.weixin.qq.com/document/path/92132
获取「群聊数据统计」数据,https://developer.work.weixin.qq.com/document/path/92133
概述,https://developer.work.weixin.qq.com/document/path/92129
事件格式,https://developer.work.weixin.qq.com/document/path/92130
获客助手事件通知,https://developer.work.weixin.qq.com/document/path/97299
管理商品图册,https://developer.work.weixin.qq.com/document/path/95096
管理聊天敏感词,https://developer.work.weixin.qq.com/document/path/95097
上传附件资源,https://developer.work.weixin.qq.com/document/path/95098
获取已服务的外部联系人,https://developer.work.weixin.qq.com/document/path/99434
